prjNo,subjectCode,ctitle,psnName,orgName,totalAmt,startEndDate
11926323,A010601,分数阶数曲率方程及其相关问题的研究,邹文明,清华大学,20,2020-01至2020-12
11926350,A011102,大规模数据的统计建模与异常检测及其应用研究,朱仲义,复旦大学,20,2020-01至2020-12
11926205,A011403,生物医学大数据分析与疾病预警天元数学交流项目,朱雯,海南师范大学,20,2020-01至2020-12
11926406,A01,基于“互联网＋”的中国古代数学传播网络平台建设,朱节中,南京信息工程大学,10,2020-01至2020-12
11926357,A011201,基于分式模型的信赖域优化算法研究,朱红兰,淮阴工学院,10,2020-01至2020-12
11926346,A010801,可压缩Euler方程组及其相关模型适定性和渐近极限,朱长江,华南理工大学,20,2020-01至2020-12
11926331,A011301,一类具有记忆型约束的能控性问题,周秀香,岭南师范学院,10,2020-01至2020-12
11926355,A011707,麦克斯韦传输特征值问题零散度约束的高效谱方法研究,周建伟,临沂大学,10,2020-01至2020-12
11926410,A01,数学文化传播及科普活动,赵新平,内蒙古农业大学,10,2019-07至2019-12
11926101,A01,天元数学中部中心,赵会江,武汉大学,300,2020-01至2020-12
11926356,A011707,麦克斯韦传输特征值问题零散度约束的高效谱方法研究,张智民,北京计算科学研究中心,20,2020-01至2020-12
11926335,A010601,拟线性椭圆型方程的多解研究,张志涛,中国科学院数学与系统科学研究院,20,2020-01至2020-12
11926339,A010303,曲率流理论及其应用研究,张振雷,首都师范大学,20,2020-01至2020-12
11926104,A01,天元数学东北中心,张然,吉林大学,300,2020-01至2020-12
11926411,A01,《数学译林》,张平,中国科学院数学与系统科学研究院,10,2020-01至2020-12
11926326,A010201,关于Brauer特征标数量性质的研究,张继平,北京大学,20,2020-01至2020-12
11926305,A011101,混料试验设计专题讲习班,张崇岐,广州大学,20,2019-07至2019-12
11926203,A0116,天元数学交流项目——离散几何与凸性国际研讨会,苑立平,河北师范大学,25,2019-08至2019-12
11926401,A01,第九届全国数学文化论坛,于化东,大连理工大学,12,2019-07至2019-12
11926407,A01,华罗庚数学奖获得者座谈会及数学普及活动,姚正安,中山大学,20,2019-11至2019-12
11926409,A01,院士专家系列数学科普讲座 ,杨新民,重庆师范大学,18,2019-05至2019-12
11926308,A010603,非交换分析及其应用高级研讨班,许全华,哈尔滨工业大学,20,2019-07至2020-12
11926416,A010207,代数几何模空间天元高级研讨班,许金兴,中国科学技术大学,20,2019-07至2020-08
11926102,A01,天元数学西北中心项目,徐宗本,西安交通大学,1200,2020-01至2023-12
11926348,A011201,SVM不定核学习的低秩优化算法,修乃华,北京交通大学,20,2020-01至2020-12
11926353,A010203,不具有对偶Chevalley性质的有限维Hopf代数的分类问题,熊荣川,常州大学,10,2020-01至2020-12
11926301,A011401,量子计算复杂性理论专题讲习班,武俊德,浙江大学,20,2020-01至2020-12
11926351,A010203,不具有对偶Chevalley性质的有限维Hopf代数的分类问题,吴泉水,复旦大学,20,2020-01至2020-12
11926313,A010303,流形上函数的频率及几何应用,王作勤,中国科学技术大学,20,2020-01至2020-12
11926333,A010802,描述流体中带电离子传输过程的N-P-N-S模型解的性质,王维克,上海交通大学,20,2020-01至2020-12
11926347,A011102,大规模数据的统计建模与异常检测及其应用研究,王涛,淮阴师范学院,10,2020-01至2020-12
11926340,A011103,带有信息的混合区间删失数据的联合分析及其应用,王淑影,长春工业大学,10,2020-01至2020-12
11926338,A010802,描述流体中带电离子传输过程的N-P-N-S模型解的性质,王金环,辽宁大学,10,2020-01至2020-12
11926343,A010504,几类变指标函数空间上的算子有界性及应用,王洪彬,山东理工大学,10,2020-01至2020-12
11926336,A011701,分数阶泊松方程的建模和计算,王和香,喀什大学,10,2020-01至2020-12
11926312,A0108,第十七届非线性偏微分方程暑期讲习班及国际学术会议,王春朋,吉林大学,20,2019-05至2019-12
11926337,A011301,一类具有记忆型约束的能控性问题,汪更生,天津大学,20,2020-01至2020-12
11926316,A010801,跨音速流与混合型偏微分方程高级研讨班,谭忠,厦门大学,20,2019-07至2019-12
11926103,A01,国家天元数学东南中心,谭绍滨,厦门大学,300,2020-01至2020-12
11926342,A010504,几类变指标函数空间上的算子有界性及应用,孙文昌,南开大学,20,2020-01至2020-12
11926341,A011103,带有信息的混合区间删失数据的联合分析及其应用,孙六全,中国科学院数学与系统科学研究院,20,2020-01至2020-12
11926204,A011701,相场模型问题的稳定性方法及其相关问题的天元数学交流项目,宋怀玲,湖南大学,20,2020-01至2020-12
11926408,A01,大学公共基础课程背后的数学故事的编撰与推广,沈婧芳,华中农业大学,12,2020-01至2020-12
11926349,A011201,SVM不定核学习的低秩优化算法,邵元海,海南大学,10,2020-01至2020-12
11926344,A0116,有限域上的置换多项式和组合零点定理的应用,秦小二,长江师范学院,10,2020-01至2020-12
11926303,A0105,偏微分方程与数论中的decoupling定理,苗长兴,北京应用物理与计算数学研究所,20,2020-01至2020-12
11926352,A010303,曲率流理论及其应用研究,毛井,湖北大学,10,2020-01至2020-12
11926325,A010101,类Dedekind和的相关问题研究,马元魁,西安工业大学,10,2020-01至2020-12
11926202,A0102,天元数学交流项目——MAGMA在群论与群作用中的应用研讨会,马纪成,重庆文理学院,22,2020-01至2020-12
11926304,A01,函数空间上算子理论和算子代数讲习班,卢玉峰,大连理工大学,20,2019-07至2019-12
11926324,A010601,分数阶数曲率方程及其相关问题的研究,刘招,江西科技师范大学,10,2020-01至2020-12
11926405,A01,资助《数学进展》期刊,刘张炬,北京大学,10,2020-01至2020-12
11926327,A010702,非局部随机系统的平均化原理,刘勇,北京大学,20,2020-01至2020-12
11926315,A0114,流固耦合与医学诊断应用高级研讨班,刘文军,南京信息工程大学,20,2020-01至2020-12
11926404,A01,数学文化杂志,刘建亚,山东大学,10,2020-01至2020-12
11926501,A01,非欧几何学早期历史的研究与普及,刘建新,信阳师范学院,6,2020-01至2020-12
11926418,A010802,最优运输问题和非线性偏微分方程,刘海蓉,南京林业大学,20,2020-01至2020-12
11926334,A010601,拟线性椭圆型方程的多解研究,刘海东,嘉兴学院,10,2020-01至2020-12
11926412,A011103,大数据与数学文化传播研讨会,廖波,海南师范大学,20,2020-01至2020-12
11926354,A010801,可压缩Euler方程组及其相关模型适定性和渐近极限,李银,韶关学院,10,2020-01至2020-12
11926414,A011701,流体计算前沿基础理论和高效数值方法高级专题讲习班,李剑,陕西科技大学,20,2020-01至2020-12
11926321,A010101,类Dedekind和的相关问题研究,李红泽,上海交通大学,20,2020-01至2020-12
