prjNo,subjectCode,ctitle,psnName,orgName,totalAmt,startEndDate
81991512,H06,骨源性因子对骨骼自身及骨外重要器官/系统稳态维持的作用和机制,邹卫国,中国科学院上海生命科学研究院,400,2020-01至2024-12
21991154,B0204,碱性H2氧化和CO2还原的催化材料与器件研究,庄林,武汉大学,558,2020-01至2024-12
21991150,B0204,面向高效能量/物质转化的新型电化学界面基础研究,庄林,武汉大学,1998,2020-01至2024-12
41991313,D0708,典型毒害有机污染物的食物链传递、生物有效性及人体多途径暴露,祝凌燕,南开大学,350,2020-01至2024-12
31991192,C0703,纤毛与个体发育器官形成的细胞机制,朱学良,中国科学院上海生命科学研究院,355,2020-01至2024-12
51991354,E03,薄制品高分子材料实现高火安全性的表面阻燃机制与技术   ,朱平,青岛大学,319,2020-01至2024-12
41991331,D0701,土壤复合污染多介质界面过程与生物影响机制,朱东强,北京大学,358,2020-01至2024-12
81991534,H1908,肠道菌群中耐药基因传播机制研究,朱宝利,中国科学院微生物研究所,350,2020-01至2024-12
71991463,G0211,面向新零售的全渠道运营与服务模式设计,周艳菊,中南大学,274,2020-01至2024-12
61991444,F0504,集成的量子阱长波红外焦平面探测器与验证演示,周孝好,中国科学院上海技术物理研究所,474,2020-01至2024-12
21991092,B0810,甲醇转化的反应机理研究,魏迎旭,中国科学院大连化学物理研究所,597,2020-01至2024-12
11991061,A040203,微纳固态器件的非平衡态物理理论研究,魏苏淮,北京计算科学研究中心,693,2020-01至2024-12
11991060,A0402,微纳器件中非平衡物理过程研究,魏苏淮,北京计算科学研究中心,1944,2020-01至2024-12
41991325,D0706,新生代大陆风化演变的大洋沉积记录,韦刚健,中国科学院广州地球化学研究所,397.6,2020-01至2024-12
51991363,E0402,天然气水合物钻采井筒多相流动障碍形成机制与安全控制方法,王志远,中国石油大学（华东）,370,2020-01至2024-12
21991143,B050106,钙钛矿类分子铁电体的构筑、铁性功能调控和介微观机制研究,王哲明,北京大学,488.8,2020-01至2024-12
51991351,E03,受限空间典型高分子材料高效本体阻燃与高性能化原理与技术,王玉忠,四川大学,780,2020-01至2024-12
51991350,E03,受限空间高火安全性高分子材料构建原理与方法,王玉忠,四川大学,1994,2020-01至2024-12
11991072,A050607,面向应用需求的激光尾波场电子加速研究,王文涛,中国科学院上海光学精密机械研究所,342,2020-01至2024-12
21991133,B03,染色质催组装动态过程及其调控的分子机制,王鹏业,中国科学院物理研究所,380,2020-01至2024-12
11991031,A0203,力学超材料的波动能量传输机理与调控,汪越胜,天津大学,477,2020-01至2024-12
71991475,G0303,宏观大数据建模和预测研究,汪同三,中国社会科学院数量经济与技术经济研究所,286.4,2020-01至2024-12
21991131,B03,催组装的表征、计算和理论方法,田中群,厦门大学,607,2020-01至2024-12
21991130,B03,催组装研究方法与理论基础,田中群,厦门大学,1987,2020-01至2024-12
21991091,B0810,分子筛催化剂的精准控制合成,田鹏,中国科学院大连化学物理研究所,498,2020-01至2024-12
41991312,D0708,典型毒害有机污染物的环境地球化学过程、跨界面传输与多介质分配,陶澍,北京大学,450,2020-01至2024-12
41991310,D0708,化工园区典型毒害有机污染物的环境地球化学过程与健康效应,陶澍,北京大学,1987,2020-01至2024-12
31991221,C130501,稻属AA基因组种间亚种间杂种不育遗传与基因定位,陶大云,云南省农业科学院,399,2020-01至2024-12
61991413,F0608,复杂海况多艇实时交互认知机制研究,唐延东,中国科学院沈阳自动化研究所,375,2020-01至2024-12
51991353,E03,基于化学与物理途径协同降低高分子材料热释放的机制与方法,唐涛,中国科学院长春应用化学研究所,299,2020-01至2024-12
21991125,B0101,耐高温型全氟醚生胶的硫化及应用研究,苏正涛,中国航发北京航空材料研究院,200,2020-01至2024-12
